"","fips","county","pctblack","hbcus","hbcuzip","pov"
"127",37185,"Warren County",0.503863298662704,NA,NA,FALSE
"128",37187,"Washington County",0.482442624280269,NA,NA,TRUE
"129",37195,"Wilson County",0.396994310571523,NA,NA,FALSE
"130",45005,"Allendale County",0.737821740055307,NA,NA,TRUE
"131",45009,"Bamberg County",0.615415712168171,NA,NA,TRUE
"132",45011,"Barnwell County",0.453781898292638,NA,NA,TRUE
"133",45027,"Clarendon County",0.485741890151072,NA,NA,TRUE
"134",45029,"Colleton County",0.381256485990261,NA,NA,TRUE
"135",45033,"Dillon County",0.473304798378013,NA,NA,TRUE
"136",45049,"Hampton County",0.531745240705671,NA,NA,TRUE
"137",45061,"Lee County",0.643515673017824,NA,NA,TRUE
"138",45065,"McCormick County",0.475036104807097,NA,NA,FALSE
"139",45067,"Marion County",0.567322524791437,NA,NA,TRUE
"140",45069,"Marlboro County",0.50361752408653,NA,NA,TRUE
"141",45075,"Orangeburg County",0.619338839265676,NA,NA,TRUE
"142",45089,"Williamsburg County",0.652374751984127,NA,NA,TRUE
"143",47069,"Hardeman County",0.415412659013342,NA,NA,TRUE
"144",47075,"Haywood County",0.500055728934463,NA,NA,TRUE
"145",51025,"Brunswick County",0.541527228475814,NA,NA,FALSE
"146",51057,"Essex County",0.378236939456826,NA,NA,FALSE
"147",51081,"Greensville County",0.578924694123729,NA,NA,FALSE
"148",51083,"Halifax County",0.359891521552955,NA,NA,FALSE
"149",51117,"Mecklenburg County",0.357020575599987,NA,NA,FALSE
"150",51135,"Nottoway County",0.402587372079552,NA,NA,FALSE
"151",51181,"Surry County",0.456221889055472,NA,NA,FALSE
"152",51580,"Covington city",0.491851781155305,NA,NA,FALSE
"153",51590,"Danville city",0.642584167424932,NA,NA,FALSE
"154",51640,"Galax city",0.500700891710396,NA,NA,FALSE
"155",51690,"Martinsville city",0.406632554280183,NA,NA,FALSE
"156",51720,"Norton city",0.757343072072916,NA,NA,TRUE
"157",NA,NA,NA,"Alabama A&M University",35762,FALSE
"158",NA,NA,NA,"Alabama State University",36101,FALSE
"159",NA,NA,NA,"Albany State University",31705,FALSE
"160",NA,NA,NA,"Alcorn State University",39096,FALSE
"161",NA,NA,NA,"Allen University",29204,FALSE
"162",NA,NA,NA,"Arkansas Baptist College",72202,FALSE
"163",NA,NA,NA,"Benedict College",29204,FALSE
"164",NA,NA,NA,"Bennett College",27401,FALSE
"165",NA,NA,NA,"Bethune-Cookman University",32114,FALSE
"166",NA,NA,NA,"Bluefield State College",24701,FALSE
"167",NA,NA,NA,"Bowie State University",20715,FALSE
"168",NA,NA,NA,"Central State University",45384,FALSE
"169",NA,NA,NA,"Cheyney University of Pennsylvania",19319,FALSE
"170",NA,NA,NA,"Claflin University",29115,FALSE
"171",NA,NA,NA,"Clark Atlanta University",30314,FALSE
"172",NA,NA,NA,"Coppin State College",21216,FALSE
"173",NA,NA,NA,"Delaware State University",19901,FALSE
"174",NA,NA,NA,"Dillard University",70122,FALSE
"175",NA,NA,NA,"Edward Waters College",32209,FALSE
"176",NA,NA,NA,"Elizabeth City State University",27909,FALSE
"177",NA,NA,NA,"Fayetteville State University",28301,FALSE
"178",NA,NA,NA,"Fisk University",37208,FALSE
"179",NA,NA,NA,"Florida A&M University",32307,FALSE
"180",NA,NA,NA,"Florida Memorial University",33054,FALSE
"181",NA,NA,NA,"Fort Valley State University",31030,FALSE
"182",NA,NA,NA,"Grambling State University",71245,FALSE
"183",NA,NA,NA,"Hampton University",23668,FALSE
"184",NA,NA,NA,"Harris-Stowe State University",63103,FALSE
"185",NA,NA,NA,"Howard University",20059,FALSE
"186",NA,NA,NA,"Huston-Tillotson University",78702,FALSE
"187",NA,NA,NA,"Jackson State University",39217,FALSE
"188",NA,NA,NA,"Jarvis Christian College",75765,FALSE
"189",NA,NA,NA,"Johnson C. Smith University",28216,FALSE
"190",NA,NA,NA,"Kentucky State University",40601,FALSE
"191",NA,NA,NA,"Lane College",38301,FALSE
"192",NA,NA,NA,"Langston University",73050,FALSE
"193",NA,NA,NA,"LeMoyne-Owen College",38126,FALSE
"194",NA,NA,NA,"Lincoln University",65102,FALSE
"195",NA,NA,NA,"Lincoln University of Pennsylvania",19352,FALSE
"196",NA,NA,NA,"Livingstone College",28144,FALSE
"197",NA,NA,NA,"Miles College",35208,FALSE
"198",NA,NA,NA,"Mississippi Valley State University",38941,FALSE
"199",NA,NA,NA,"Morehouse College",30314,FALSE
"200",NA,NA,NA,"Morgan State University",21251,FALSE
"201",NA,NA,NA,"Morris College",29150,FALSE
"202",NA,NA,NA,"Norfolk State University",23504,FALSE
"203",NA,NA,NA,"North Carolina A&T State University",27411,FALSE
