"","FIPS","county","state","rural","south","black35","white90","X1990","X2000","X2010","X2017","pctblack","pctwhite"
"101",4009,"Graham County","AZ",TRUE,FALSE,FALSE,FALSE,26554,33489,37220,37700,0.019893899204244,0.789973474801061
"102",4011,"Greenlee County","AZ",TRUE,FALSE,FALSE,TRUE,8008,8547,8437,9368,0.0203885567890692,0.910866780529462
"103",4012,"La Paz County","AZ",TRUE,FALSE,FALSE,FALSE,13844,19715,20489,20477,0.00864384431313181,0.75343067832202
"104",4013,"Maricopa County","AZ",FALSE,FALSE,FALSE,FALSE,2122101,3072149,3817117,4155501,0.0535105153385837,0.780084759936287
"105",4015,"Mohave County","AZ",FALSE,FALSE,FALSE,TRUE,93497,155032,200186,204691,0.0107869911232052,0.904006526911296
"106",4017,"Navajo County","AZ",TRUE,FALSE,FALSE,FALSE,77658,97470,107449,107902,0.00823895757261218,0.478656558729217
"107",4019,"Pima County","AZ",FALSE,FALSE,FALSE,FALSE,666880,843746,980263,1007257,0.0346207571652518,0.768918955142531
"108",4021,"Pinal County","AZ",FALSE,FALSE,FALSE,FALSE,116379,179727,375770,405537,0.0450587739219849,0.804168300303055
"109",4023,"Santa Cruz County","AZ",TRUE,FALSE,FALSE,FALSE,29676,38381,47420,46358,0.00509081496181889,0.861879287285905
"110",4025,"Yavapai County","AZ",FALSE,FALSE,FALSE,TRUE,107714,167517,211033,220972,0.00529026301974911,0.919804319099252
"111",4027,"Yuma County","AZ",FALSE,FALSE,FALSE,FALSE,106895,160026,195751,204281,0.0208878946157499,0.73088539805464
"112",5001,"Arkansas County","AR",TRUE,TRUE,FALSE,FALSE,21653,20749,19019,18352,0.264385353095031,0.72226460331299
"113",5003,"Ashley County","AR",TRUE,TRUE,FALSE,FALSE,24319,24209,21853,20771,0.255596745462424,0.719223917962544
"114",5005,"Baxter County","AR",TRUE,TRUE,FALSE,TRUE,31186,38386,41513,41093,0.00180079332246368,0.963643442922152
"115",5007,"Benton County","AR",FALSE,TRUE,FALSE,FALSE,97499,153406,221339,251823,0.0164560028273827,0.881321404319701
"116",5009,"Boone County","AR",TRUE,TRUE,FALSE,TRUE,28297,33948,36903,37212,0.00384284639363646,0.963210792217564
"117",5011,"Bradley County","AR",TRUE,TRUE,FALSE,FALSE,11793,12600,11508,10994,0.292887029288703,0.623067127524104
"118",5013,"Calhoun County","AR",TRUE,TRUE,FALSE,FALSE,5826,5744,5368,5194,0.222564497497112,0.760685406237967
"119",5015,"Carroll County","AR",TRUE,TRUE,FALSE,TRUE,18654,25357,27446,27782,0.0133899647253617,0.926895111942985
"120",5017,"Chicot County","AR",TRUE,TRUE,TRUE,FALSE,15713,14117,11800,11008,0.541696947674419,0.431776889534884
"121",5019,"Clark County","AR",TRUE,TRUE,FALSE,FALSE,21437,23546,22995,22495,0.238630806845966,0.719537675038898
"122",5021,"Clay County","AR",TRUE,TRUE,FALSE,TRUE,18107,17609,16083,15190,0.00684660961158657,0.962541145490454
"123",5023,"Cleburne County","AR",TRUE,TRUE,FALSE,TRUE,19411,24046,25970,25361,0.00591459327313592,0.970545325499783
"124",5025,"Cleveland County","AR",FALSE,TRUE,FALSE,FALSE,7781,8571,8689,8332,0.11029764762362,0.863778204512722
"125",5027,"Columbia County","AR",TRUE,TRUE,FALSE,FALSE,25691,25603,24552,23992,0.349533177725909,0.606702234078026
"126",5029,"Conway County","AR",TRUE,TRUE,FALSE,FALSE,19151,20336,21273,20954,0.111864083229932,0.851675097833349
"127",5031,"Craighead County","AR",FALSE,TRUE,FALSE,FALSE,68956,82148,96443,104246,0.134096272279032,0.798975500259003
"128",5033,"Crawford County","AR",FALSE,TRUE,FALSE,FALSE,42493,53247,61948,62119,0.0133614514077818,0.896295819314541
"129",5035,"Crittenden County","AR",FALSE,TRUE,TRUE,FALSE,49939,50866,50902,49278,0.490360810097812,0.448475993343886
"130",5037,"Cross County","AR",TRUE,TRUE,FALSE,FALSE,19225,19526,17870,17164,0.228035422978327,0.743591237473782
"131",5039,"Dallas County","AR",TRUE,TRUE,TRUE,FALSE,9614,9210,8116,7585,0.403427818061964,0.549637442320369
"132",5041,"Desha County","AR",TRUE,TRUE,TRUE,FALSE,16798,15341,13008,12094,0.474946254340996,0.485778071771126
"133",5043,"Drew County","AR",TRUE,TRUE,FALSE,FALSE,17369,18723,18509,18620,0.287755102040816,0.687593984962406
"134",5045,"Faulkner County","AR",FALSE,TRUE,FALSE,FALSE,60006,86014,113237,121282,0.114138948895961,0.825472864893389
"135",5047,"Franklin County","AR",TRUE,TRUE,FALSE,TRUE,14897,17771,18125,17803,0.00988597427399876,0.944784586867382
"136",5049,"Fulton County","AR",TRUE,TRUE,FALSE,TRUE,10037,11642,12245,12092,0.00330797221303341,0.96485279523652
