County ID,State / County Name,All Ages in Poverty Count,Median Household Income in Dollars
13281,Towns County (GA),892,"$17,431 "
13283,Treutlen County (GA),"1,774","$16,173 "
13285,Troup County (GA),"8,557","$24,136 "
13287,Turner County (GA),"2,910","$16,513 "
13289,Twiggs County (GA),"1,914","$20,539 "
13291,Union County (GA),"2,113","$17,227 "
13293,Upson County (GA),"3,857","$20,802 "
13295,Walker County (GA),"6,956","$23,201 "
13297,Walton County (GA),"4,990","$25,194 "
13299,Ware County (GA),"8,056","$19,503 "
13301,Warren County (GA),"1,603","$15,715 "
13303,Washington County (GA),"4,438","$19,365 "
13305,Wayne County (GA),"4,465","$22,378 "
13307,Webster County (GA),497,"$17,381 "
13309,Wheeler County (GA),"1,337","$15,732 "
13311,White County (GA),"1,451","$24,399 "
13313,Whitfield County (GA),"7,870","$27,142 "
13315,Wilcox County (GA),"1,979","$17,439 "
13317,Wilkes County (GA),"1,988","$19,436 "
13319,Wilkinson County (GA),"1,635","$23,891 "
13321,Worth County (GA),"5,048","$21,043 "
15000,Hawaii,"102,808","$35,832 "
15001,Hawaii County (HI),"17,031","$25,091 "
15003,Honolulu County (HI),"74,965","$35,908 "
15005,Kalawao County (HI),NA,NA
15007,Kauai County (HI),"3,432","$33,331 "
15009,Maui County (HI),"7,380",NA
16000,Idaho,"135,498","$25,267 "
16001,Ada County (ID),"18,812","$30,093 "
16003,Adams County (ID),500,"$22,902 "
16005,Bannock County (ID),"8,187","$26,997 "
16007,Bear Lake County (ID),785,"$23,820 "
16009,Benewah County (ID),"1,026","$26,042 "
16011,Bingham County (ID),"5,766","$26,405 "
16013,Blaine County (ID),"1,000","$28,368 "
16015,Boise County (ID),413,"$23,463 "
16017,Bonner County (ID),"4,685","$21,037 "
16019,Bonneville County (ID),"7,375","$31,435 "
16021,Boundary County (ID),"1,516","$21,162 "
16023,Butte County (ID),389,"$24,718 "
16025,Camas County (ID),43,"$26,700 "
16027,Canyon County (ID),"17,271","$22,182 "
16029,Caribou County (ID),690,"$29,354 "
16031,Cassia County (ID),"3,037","$25,424 "
16033,Clark County (ID),100,"$22,191 "
16035,Clearwater County (ID),997,"$25,193 "
