County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
12075,Levy County (FL),"39,966","8,329","$37,272 "
12077,Liberty County (FL),"6,305","1,449","$41,308 "
12079,Madison County (FL),"16,400","4,633","$37,256 "
12081,Manatee County (FL),"381,155","41,057","$55,189 "
12083,Marion County (FL),"344,876","55,880","$43,772 "
12085,Martin County (FL),"156,221","17,002","$58,344 "
12086,Miami-Dade County (FL),"2,712,068","452,649","$49,758 "
12087,Monroe County (FL),"75,974","8,963","$63,009 "
12089,Nassau County (FL),"82,065","7,484","$70,590 "
12091,Okaloosa County (FL),"198,039","21,667","$60,798 "
12093,Okeechobee County (FL),"38,611","8,415","$42,524 "
12095,Orange County (FL),"1,321,373","201,528","$54,021 "
12097,Osceola County (FL),"348,384","48,892","$49,284 "
12099,Palm Beach County (FL),"1,450,165","170,868","$60,059 "
12101,Pasco County (FL),"518,599","67,635","$51,247 "
12103,Pinellas County (FL),"954,222","115,990","$51,488 "
12105,Polk County (FL),"671,851","107,844","$48,328 "
12107,Putnam County (FL),"72,013","18,954","$34,390 "
12109,St. Johns County (FL),"241,065","20,118","$77,022 "
12111,St. Lucie County (FL),"310,308","39,839","$49,995 "
12113,Santa Rosa County (FL),"168,053","17,183","$65,434 "
12115,Sarasota County (FL),"413,101","38,065","$58,423 "
12117,Seminole County (FL),"459,203","51,321","$63,865 "
12119,Sumter County (FL),"117,010","10,672","$57,931 "
12121,Suwannee County (FL),"40,948","8,299","$44,144 "
12123,Taylor County (FL),"19,114","4,556","$41,557 "
12125,Union County (FL),"10,315","2,291","$47,373 "
12127,Volusia County (FL),"524,637","79,877","$46,911 "
12129,Wakulla County (FL),"29,084","3,746","$55,717 "
12131,Walton County (FL),"66,198","10,493","$52,922 "
12133,Washington County (FL),"22,045","4,646","$36,052 "
13000,Georgia,"10,154,766","1,536,069","$56,117 "
13001,Appling County (GA),"18,049","4,003","$40,862 "
13003,Atkinson County (GA),"8,296","2,006","$34,821 "
13005,Bacon County (GA),"10,962","3,089","$38,417 "
13007,Baker County (GA),"3,187",783,"$37,286 "
13009,Baldwin County (GA),"39,403","9,944","$40,358 "
13011,Banks County (GA),"18,574","2,511","$49,481 "
13013,Barrow County (GA),"78,475","9,401","$60,028 "
13015,Bartow County (GA),"103,707","13,667","$55,067 "
13017,Ben Hill County (GA),"16,658","4,082","$32,370 "
13019,Berrien County (GA),"18,905","3,515","$38,239 "
13021,Bibb County (GA),"146,799","36,728","$39,047 "
13023,Bleckley County (GA),"11,501","2,334","$44,262 "
13025,Brantley County (GA),"18,575","3,520","$40,906 "
13027,Brooks County (GA),"15,459","3,665","$36,030 "
13029,Bryan County (GA),"36,843","3,828","$73,877 "
13031,Bulloch County (GA),"70,681","17,369","$42,068 "
13033,Burke County (GA),"22,189","5,121","$41,863 "
13035,Butts County (GA),"21,294","3,889","$46,062 "
13037,Calhoun County (GA),"4,739","1,662","$33,889 "
13039,Camden County (GA),"50,942","6,375","$53,582 "
13043,Candler County (GA),"10,488","2,590","$33,846 "
13045,Carroll County (GA),"113,254","19,466","$51,388 "
13047,Catoosa County (GA),"65,851","7,905","$53,833 "
13049,Charlton County (GA),"10,415","2,670","$40,636 "
13051,Chatham County (GA),"276,189","45,057","$54,667 "
13053,Chattahoochee County (GA),"7,770","1,525","$44,439 "
13055,Chattooga County (GA),"23,371","4,732","$39,325 "
13057,Cherokee County (GA),"245,310","18,338","$78,247 "
13059,Clarke County (GA),"116,831","31,067","$39,901 "
13061,Clay County (GA),"2,899",960,"$29,122 "
13063,Clayton County (GA),"279,429","45,572","$44,757 "
13065,Clinch County (GA),"6,626","1,827","$37,174 "
13067,Cobb County (GA),"744,869","71,120","$75,485 "
13069,Coffee County (GA),"39,858","9,921","$39,408 "
13071,Colquitt County (GA),"45,018","11,508","$36,651 "
13073,Columbia County (GA),"150,527","9,942","$75,832 "
13075,Cook County (GA),"17,096","3,637","$36,463 "
13077,Coweta County (GA),"142,110","14,806","$73,296 "
13079,Crawford County (GA),"12,151","2,138","$47,422 "
13081,Crisp County (GA),"22,264","6,605","$34,754 "
13083,Dade County (GA),"15,283","2,328","$45,053 "
13085,Dawson County (GA),"24,144","2,258","$64,930 "
13087,Decatur County (GA),"25,658","5,607","$37,835 "
13089,DeKalb County (GA),"739,938","112,844","$61,496 "
13091,Dodge County (GA),"19,020","4,141","$36,067 "
13093,Dooly County (GA),"11,889","3,283","$35,781 "
13095,Dougherty County (GA),"86,301","24,373","$36,994 "
13097,Douglas County (GA),"142,287","16,770","$60,177 "
13099,Early County (GA),"10,147","2,707","$32,490 "
13101,Echols County (GA),"3,914","1,038","$36,559 "
13103,Effingham County (GA),"59,184","5,772","$68,109 "
13105,Elbert County (GA),"18,801","4,312","$35,452 "
13107,Emanuel County (GA),"21,328","5,890","$33,551 "
13109,Evans County (GA),"10,351","2,899","$34,464 "
13111,Fannin County (GA),"25,098","3,409","$42,986 "
13113,Fayette County (GA),"111,823","6,424","$87,831 "
13115,Floyd County (GA),"93,370","17,913","$45,979 "
13117,Forsyth County (GA),"226,808","11,978","$103,083 "
13119,Franklin County (GA),"22,017","4,127","$42,703 "
13121,Fulton County (GA),"1,009,694","149,652","$64,901 "
13123,Gilmer County (GA),"30,431","4,376","$46,200 "
13125,Glascock County (GA),"2,970",515,"$43,529 "
13127,Glynn County (GA),"84,004","14,304","$50,740 "
13129,Gordon County (GA),"56,089","7,877","$46,868 "
13131,Grady County (GA),"24,568","4,986","$41,095 "
13133,Greene County (GA),"17,084","2,904","$50,736 "
13135,Gwinnett County (GA),"912,553","97,757","$68,957 "
13137,Habersham County (GA),"42,002","5,585","$49,292 "
13139,Hall County (GA),"195,975","25,982","$61,320 "
13141,Hancock County (GA),"7,222","2,190","$31,247 "
13143,Haralson County (GA),"28,803","4,393","$45,167 "
13145,Harris County (GA),"33,395","2,774","$72,811 "
13147,Hart County (GA),"25,064","4,725","$44,603 "
